# pinyin	word	lcid	rcid	mid	value
daohan	盗汗	1285	1285	501	-16.89900016784668
daohang	稲杭	1285	1285	501	-18.380599975585938
daohao	道号	1288	1288	501	-13.985199928283691
daohao	道浩	1291	1291	501	-14.624099731445312
daohe	稲核	1293	1293	231	-14.29800033569336
daohe	稲荷	1285	1285	404	-12.050600051879883
daohe	稲賀	1290	1290	501	-14.767999649047852
daohe	道和	1291	1291	501	-14.178799629211426
daohedamingshen	稲荷大明神	1288	1288	358	-14.056300163269043
daoheji	稲荷祭	1285	1285	501	-19.989999771118164
daohemu	稲荷木	1293	1293	501	-14.403400421142578
daohen	刀痕	1285	1285	501	-17.547700881958008
daoheqi	稲荷崎	1293	1293	501	-12.813400268554688
daoheshan	稲荷山	1293	1293	404	-12.1850004196167
daoheshangufen	稲荷山古墳	1288	1288	435	-14.085200309753418
daoheshe	稲荷社	1293	1293	404	-11.097399711608887
daoheshen	稲荷神	1293	1293	32	-12.678000450134277
daoheshenshe	稲荷神社	1293	1293	404	-10.36400032043457
daoheshousi	稲荷寿司	1285	1285	93	-18.380599975585938
daoheting	稲荷町	1293	1293	231	-16.823699951171875
daoheyi	稲荷鮨	1285	1285	501	-18.118200302124023
daohong	道弘	1291	1291	159	-13.698100090026855
daohou	島後	1293	1293	385	-16.669599533081055
daohou	道後	1290	1290	231	-11.99940013885498
daohouwenquan	道後温泉	1293	1293	228	-11.405099868774414
daohu	島弧	1285	1285	501	-18.28529930114746
daohu	道戯	1285	1285	501	-18.28529930114746
daohua	道化	1285	1285	51	-12.61929988861084
daohua	道話	1285	1285	392	-16.09819984436035
daohuabing	稲花餅	1285	1285	501	-18.380599975585938
daohuai	倒壊	1283	1283	425	-11.112199783325195
daohuang	道晃	1289	1289	501	-17.04050064086914
daohuashi	道化師	1285	1285	51	-12.735699653625488
daohui	道会	1285	1285	57	-18.486000061035156
daohui	道恵	1291	1291	501	-15.29319953918457
daohuo	導火	1285	1285	384	-15.636500358581543
daohuo	道火	1285	1285	501	-18.380599975585938
daohuoxian	導火線	1288	1288	174	-13.240900039672852
daoji	稲吉	1290	1290	285	-13.844200134277344
daoji	稲積	1293	1293	358	-15.319700241088867
daoji	稲鶏	1285	1285	501	-17.975099563598633
daoji	道基	1291	1291	501	-17.239099502563477
daoji	道済	1290	1290	392	-14.947799682617188
daojia	倒家	1285	1285	501	-18.28529930114746
daojia	刀架	1285	1285	501	-18.28529930114746
daojia	稲架	1285	1285	501	-15.052000045776367
daojia	道家	1290	1290	365	-12.833000183105469
daojian	刀剣	1285	1285	4	-11.721199989318848
daojian	刀尖	1285	1285	501	-18.28529930114746
daojian	島見	1293	1293	501	-14.797800064086914
daojian	島間	1293	1293	410	-12.833200454711914
daojian	稲見	1290	1290	159	-13.531700134277344
daojian	道兼	1291	1291	501	-17.239099502563477
daojian	道堅	1291	1291	501	-17.239099502563477
daojiang	刀匠	1285	1285	251	-14.319299697875977
daojiang	道江	1291	1291	501	-15.159600257873535
daojianluanwu	刀剣乱舞	1288	1288	396	-11.094499588012695
daojiannanshi	刀剣男士	1289	1289	89	-10.551799774169922
daojianqian	島見前	1293	1293	501	-16.823699951171875
daojiao	島礁	1285	1285	501	-18.28529930114746
daojiao	稲角	1290	1290	501	-16.83489990234375
daojiao	道交	1285	1285	501	-14.13860034942627
daojiao	道教	1285	1285	365	-11.930800437927246
daojiao	道角	1285	1285	501	-18.380599975585938
daojiaoda	道教大	1288	1288	501	-18.019500732421875
daojie	道介	1291	1291	501	-14.576499938964844
daojie	道節	1291	1291	399	-17.239099502563477
daojihong	嶋基宏	1289	1289	122	-18.13599967956543
daojin	到津	1290	1290	200	-13.447099685668945
daojin	島津	1290	1290	498	-9.636300086975098
daojin	嶋津	1290	1290	219	-10.28499984741211
daojin	稲津	1290	1290	285	-16.83489990234375
daojin	道筋	1285	1285	282	-11.561599731445312
daojinbaocilang	島津保次郎	1289	1289	477	-12.855400085449219
daojing	島井	1290	1290	392	-16.83489990234375
daojing	嶋井	1290	1290	501	-14.4931001663208
daojing	搗精	1285	1285	501	-18.28529930114746
daojing	稲井	1290	1290	330	-12.776200294494629
daojing	稲茎	1285	1285	501	-18.380599975585938
daojing	稻井	1290	1290	501	-16.572500228881836
daojing	道警	1285	1285	265	-13.42870044708252
daojing	道鏡	1289	1289	369	-11.97599983215332
daojinguijiu	島津貴久	1289	1289	498	-12.600199699401855
daojinguizi	島津貴子	1289	1289	122	-18.320999145507812
daojinhuzi	島津冴子	1289	1289	122	-21.83300018310547
daojinjia	島津家	1288	1288	108	-12.513899803161621
daojinjiajiu	島津家久	1289	1289	394	-12.384699821472168
daojinjiuguang	島津久光	1289	1289	108	-11.753800392150879
daojinqibin	島津斉彬	1289	1289	108	-12.05150032043457
daojinshi	島津氏	1288	1288	498	-11.342100143432617
daojinxiaomiao	島津咲苗	1289	1289	122	-20.517000198364258
daojinyashi	島津亜矢	1289	1289	122	-17.98200035095215
daojinyihong	島津義弘	1289	1289	498	-11.550399780273438
daojinyijiu	島津義久	1289	1289	498	-11.858200073242188
daojinzhizuosuo	島津製作所	1292	1292	281	-11.878899574279785
daojinzhonghao	島津重豪	1289	1289	108	-12.725700378417969
daojinzhongyi	島津忠義	1289	1289	108	-12.66100025177002
daojiong	到炯	1291	1291	501	-17.239099502563477
daojiu	島酒	1285	1285	501	-18.380599975585938
daojiu	搗臼	1285	1285	501	-18.380599975585938
daojiu	道久	1291	1291	76	-13.403200149536133
daoju	刀鋸	1285	1285	501	-18.28529930114746
daoju	島居	1290	1290	501	-14.210200309753418
daoju	稲菊	1285	1285	501	-18.380599975585938
daoju	道俱	1291	1291	501	-17.239099502563477
daoju	道具	1285	1285	60	-9.496999740600586
daojuan	倒巻	1285	1285	501	-18.28529930114746
daojue	盗掘	1283	1283	425	-12.487199783325195
daojun	道君	1285	1285	501	-18.28529930114746
daojuwu	道具屋	1288	1288	311	-13.809200286865234
daojuxiang	道具箱	1288	1288	497	-13.885299682617188
daojuyishi	道具一式	1288	1288	4	-14.229599952697754
daokai	道楷	1291	1291	501	-17.239099502563477
daokang	道康	1291	1291	399	-13.262499809265137
daokao	島尻	1293	1293	82	-12.938799858093262
daoke	道可	1291	1291	501	-17.239099502563477
daokou	島口	1290	1290	501	-16.83489990234375
daokuan	道寛	1291	1291	501	-15.629599571228027
daokui	倒潰	1283	1283	501	-17.569299697875977
daolai	到来	1283	1283	182	-10.355999946594238
daolai	道瀬	1293	1293	501	-15.119000434875488
daolai	道頼	1291	1291	399	-14.000399589538574
daolaiting	稲瀬町	1293	1293	501	-16.130599975585938
daolang	島朗	1289	1289	491	-12.926400184631348
daolang	道郎	1291	1291	159	-13.567000389099121
daole	倒了	1285	1285	501	-18.28529930114746
daole	道楽	1283	1283	290	-12.294300079345703
daolei	盗塁	1283	1283	377	-10.10159969329834
daoleiwang	盗塁王	1288	1288	377	-12.736900329589844
daoleizuzhilv	盗塁阻止率	1288	1288	377	-13.143799781799316
daoli	倒立	1283	1283	95	-13.017900466918945
daoli	刀利	1285	1285	501	-18.28529930114746
daoli	刀礼	1285	1285	501	-18.28529930114746
daoli	忉利	1285	1285	501	-18.28529930114746
daoli	搗栗	1285	1285	501	-17.099700927734375
daoli	稲里	1293	1293	501	-16.130599975585938
daoli	道利	1291	1291	328	-15.098999977111816
daoli	道力	1285	1285	501	-18.28529930114746
daoli	道理	1285	1285	495	-12.071700096130371
daoli	道立	1285	1285	253	-18.198299407958984
daoli	道里	1285	1285	501	-18.28529930114746
daolian	道連	1288	1288	191	-18.019500732421875
daoliang	道良	1291	1291	501	-14.348699569702148
daoliangyi	刀良意	1291	1291	501	-17.239099502563477
daolie	島列	1285	1285	501	-18.380599975585938
daolin	道琳	1289	1289	501	-17.04050064086914
daoling	稲嶺	1290	1290	191	-12.488499641418457
daoling	道玲	1291	1291	501	-17.239099502563477
daoliting	稲里町	1293	1293	501	-16.823699951171875
daoliu	導流	1285	1285	501	-18.28529930114746
daoliu	道柳	1285	1285	501	-18.380599975585938
daoliu	道流	1291	1291	501	-12.555399894714355
daolong	道隆	1291	1291	369	-11.237700462341309
daolu	道路	1285	1285	469	-8.67240047454834
daolu	道陸	1288	1288	501	-18.019500732421875
daoluaicheng	道路愛称	1288	1288	475	-14.180000305175781
daoluan	倒卵	1285	1285	398	-18.28529930114746
daoluanxing	倒卵形	1285	1285	333	-14.116499900817871
daolubiaoshi	道路標示	1288	1288	469	-14.246700286865234
daolubiaoshi	道路標識	1288	1288	469	-12.346599578857422
daoludetu	道路地図	1288	1288	469	-14.017800331115723
daolufa	道路法	1288	1288	86	-12.061200141906738
daolugongshi	道路工事	1288	1288	501	-13.092700004577637
daolugouzaoling	道路構造令	1288	1288	86	-13.973099708557129
daoluguanli	道路管理	1288	1288	486	-13.942999839782715
daoluguanlizhe	道路管理者	1288	1288	455	-13.289899826049805
daolujianshe	道路建設	1288	1288	501	-12.649100303649902
daolujiaotong	道路交通	1288	1288	109	-12.399299621582031
daolujiaotongfa	道路交通法	1288	1288	86	-11.876299858093262
daolujiaotongfaweifan	道路交通法違反	1288	1288	243	-13.691200256347656
daolujiaotongqingbao	道路交通情報	1288	1288	305	-14.153499603271484
daoluju	道路局	1288	1288	214	-13.993000030517578
daoluming	道路名	1288	1288	129	-13.12440013885498
daolushang	道路上	1285	1305	17	-12.701499938964844
daoluwang	道路網	1285	1298	17	-12.998100280761719
daoluxie	道路脇	1288	1288	220	-13.111900329589844
